completion	prompt
The little dolphin is also wearing a helmet... Wearing a helmet... Wearing a helmet..	Elon's log. Earthdate 25 January 2015. I have left Springfield forever. But there are some things I will definitely miss.
I met a guy. A wonderful guy.	Wait a minute. This song was supposedly written by... former Mayor Moleman!
Boy. Sure is nice not to be the one on the horse for a change.	Hyah!
Simpler time.	Whoa. Thinking back, I'm kinda surprised Mom and Dad let a crazy man spend all night in my bedroom.
What are you doing?	I think we might just make a good team. Like Maggie and Grampa.
Artists.	What's it look like? Writing a song.
I saved us seats!	That works.
Thank you, roll of masking tape!	Oh, thank you, Homie!
Gonna be a tight fit.	Thank you, roll of masking tape!
Well, not Maggie.	Our kids just did something amazing!
Okay, okay. Standing O or die!	Get up!
Woo hoo!	Okay, okay. Standing O or die!
Dammit!	Stop fearing me!
Please keep spinning it. I don't wanna look at it.	Dammit!
Can't you say something to make me feel better?	Please keep spinning it. I don't wanna look at it.
"Fine. I got it. Starting right now, a year-long juice cleanse	 every morning, I get a colonic, and I sleep in a sauna every night."	I'm sorry but I can't. I'm tired of you saying planes have gotten smaller, and two Presidents were fatter than you, and...
It's not about health, Marge. It's about going crazy.	That's not a healthy way to lose weight.
What the?	You don't have to do this alone.
Hmmm.	What the?
This is it.	Hmmm.
So... you guys are proud of what you are?	"No-no. In fact, quite the opposite. We are ""Big is Beautiful."""
Do you guys serve snacks?	We do not cower in the shadows. We make the shadows!
I have so many questions for you. First of all, is this floor reinforced?	Mustn't forget the diet soda!
You know, maybe I shouldn't be here. I promised my wife I'd lose weight.	I have so many questions for you. First of all, is this floor reinforced?
Ooh, labels.	If I may...
Who are you?	Our loved ones, though precious, can often be a hurdle.
Ooh, like Fat Albert.	Who are you?
Sorry.	"We never use the word ""fat"" here."
I am big.	My dear fat friend, all your wife needs is a little education. Now, repeat after me... I am big.
I have a beauty of a sort to some.	I am beautiful.
Ditto. You know I've always wanted to blindly follow somebody, and I think you just might be the guy.	No one can make me feel bad about who I am because this is who I am.
Marge, kids! Tonight was a turning point in my life.	Ditto. You know I've always wanted to blindly follow somebody, and I think you just might be the guy.
No, Marge! You have to listen! That place you sent me to changed my life!	Well that's great, Homie. Just let me finish uploading this photo.
They taught me that I don't need to lose weight, I should just be proud of what I am.	Thank you, Lord. And I'll give up online scrapbooking like I promised.
Marge, you're my wife of ten years and I love you. But I must observe the teachings of this man I just met tonight. Now, the first thing I have to do is make amends... with the bathroom scale.	That's worse than what I thought!
I'm so sorry I threw you across the room and called you a liar. When you told me I was two hundred and sixty pounds, you were just encouraging me. It was a poem you were writing about my potential. I'm gonna start celebrating my size and I need you with me as a partner. Now if you'll excuse me, I need to talk to the broken porch swing.	Marge, you're my wife of ten years and I love you. But I must observe the teachings of this man I just met tonight. Now, the first thing I have to do is make amends... with the bathroom scale.
From now on, you guys can no longer say these hateful words.	I'm so sorry I threw you across the room and called you a liar. When you told me I was two hundred and sixty pounds, you were just encouraging me. It was a poem you were writing about my potential. I'm gonna start celebrating my size and I need you with me as a partner. Now if you'll excuse me, I need to talk to the broken porch swing.
Chubby, chunky, blobbo, slobbo, Fat Bastard, Michelin Man, Stay-puft, chumbawamba, It is balloon!, Papa Grandé, Augustus Gloop, Beached Whale, Big Boned, Wisconsin Skinny, Butterball, Dumptruck, Jelly Belly, Pudgy Wudgy, Lard Ass, Blubberino, Buddha Belly, Hurry Eat Tubman, One Ton Soup, Blob Saget, Chub Hub, Calvin Cool Whip, Manfred Manboobs, 21 Lump Street, Walking Before Picture, Fatso, Harvey Milk Chocolate, Obese Want Cannoli, Mahatma Gumbo, Salvador Deli, Elmer Pantry, K.F.C. And The Sponge Cake Band, Snackie Onassis... The Foodie Blues, Hoagie Carmichael and Wide Load.	From now on, you guys can no longer say these hateful words.
Good. Good. By which I mean bad, bad.	What about Mr. Two Belts?
We never dreamed.	What? You're kiddin'.
Sorry, fellas. There's a movement I have to join. I've learned there's something more important than drinking: eating.	WE'RE BIG! WE'RE PROUD! TWO OF US CAN MAKE A CROWD!
Right here.	Homer Simpson?
Excuse me, pardon me, coming through.	Right here.
Comin' back, 'scuse me, pardon me...	Excuse me, pardon me, coming through.
There we go. Comin' up... what can I do for you?	Comin' back, 'scuse me, pardon me...
Guys, I'm comin' back in. Suck in your guts.	Homer, you have to choose. And I think the choice is clear.
I was distinctly promised no math!	No more judgment. No more jokes. We will not be made to feel less than because we are greater than.
Marge, it's not your fault that you can't win against a superior being like Albert.	Oh, kids, stop arguing. Or keep arguing. I don't care. Homer, I'm sorry I tried to help you control your weight. I'm not sure of anything anymore. Sorry I ever open my mouth.
But Marge, I don't want you to ever stop caring about me.	Marge, it's not your fault that you can't win against a superior being like Albert.
Marge, I believe you're forgetting America's greatest wartime wheelchair-bound leader: Professor X of the X-Men.	How can you follow a leader who won't even get up out of his chair?
I've never written an eulogy before, but this time I did. Unfortunately, I left it at home.	Oh, dear God. Stick a forklift in him, he's dead.
Thanks, lady.	I've never written an eulogy before, but this time I did. Unfortunately, I left it at home.
What Albert taught us is that all people have pride and no group should ever be insulted. He knew what was important was how you lived your life every day...till he was taken from us too soon at the age of...	Thanks, lady.
Twenty-three?! People, for God's sake, join a gym.	What Albert taught us is that all people have pride and no group should ever be insulted. He knew what was important was how you lived your life every day...till he was taken from us too soon at the age of...
Marge, I'm sorry I was proud of myself.	Much more!
It will never happen again. Now come on, let's walk home.	That's not really what I was--
Can I ask you something? What is it that keeps you with me?	Absolutely.
And because you love me, I will not stop yo-yo dieting till I get it right.	It's because everything you love, you love so much.
Marge! Stop that crazy thing!	You finally reached emotional maturity. Unlike Bart.
I'm not spending my precious Saturday chauffeuring those over-privileged kids to a better life than I ever had.	I've printed out our driving plan! If we work together, we can get Bart to his sports...Lisa to her music...and Maggie to the five birthday parties she's invited to today.
Moe, quick! Beer me before I answer the phone!	Homie! Are you dressed? You have soccer setup in twenty minutes! Homie?!
Hey, Marge. I'm supposed to help drive the kids? Oh, man, I wish I knew that sooner, but I just had a beer.	I need it now!
Woo hoo! Off the hook!	You're already drinking at eight o'clock in the morning? How much have you had?
Yeah, while you're at it can you pick me up some beer?	Looks like this is all me.
Hey Moe... I'll take care of the bar. You did me a favor today.	I can't close down the bar on a Saturday. That's when you guys can drink 'cause you're not workin' for three days.
Man, Moe's barely got two nickels to rub together.	What the? When I was a young car I didn't sit around smilin' like I had nothin' better to do!
There's no guys! We haven't made any money.	I am woman, hear me pour! Oh yeah!
We don't look at you that way.	You can't mean that!
Good ol' Dae Ho. Used to give me the pickles off his sandwich. And all I had to do was let him copy some keys.	Hey, wait a minute! We can get you a job! There's an opening at the nuclear plant 'cause of that guy that defected to North Korea.
That's where all the problems are!	We are gonna search this place from top to bottom.
Look Moe, the least you could let me do is anything I want.	Huh... no one was in there.
Well, that's the logic. Where's the affection?	Yeah, the only reason you haven't been fired is because your file here was holdin' up a sofa that was missin' a leg.
Plant-watering guy.	Smithers, what profit a man if he gain the world and lose his soul. Seriously. I need an amount. In round dollars.
All right.	Yes, yes, go ahead. And be careful with the Venus flytrap!
What do I do now?	They say you catch more flies with honey. I say with flytraps!
Oh, all right.	Just lean into it. It'll be over soon, one way or another.
Well, you know people can kinda act like they're in grade school.	Now they won't even have lunch with me.
You know, Moe, you're a real jerk. I didn't mind so much when it came with beer.	Oh, now you gotta throw your grade school education in my face?!
Marge, which can makes me look cooler? The Drizzler or Mr. Drip?	I just lost my appetite.
Feminine?!	Homer Simpson. Working with those plants is great! It's helped you get in touch with your feminine side.
'Cause boys are already on track to get all the good jobs. The Dirty Dozen? All guys. Twelve Angry Men? Men! The X-Men? Mostly men.	"How come there's never a ""Take Your Son To Work Day?"""
